CD,Region,인구밀도
51150,강릉시,205.3995369
51820,고성군,42.08877522
51170,동해시,478.1875659
51230,삼척시,53.49373653
51210,속초시,761.2009456
51800,양구군,31.63642955
51830,양양군,42.20045095
51750,영월군,31.55994714
51130,원주시,420.2651188
51810,인제군,19.12890293
51770,정선군,26.8843562
51780,철원군,45.7259052
51110,춘천시,262.0017556
51190,태백시,126.6312945
51760,평창군,26.60661358
51720,홍천군,35.76297533
51790,화천군,24.60922461
51730,횡성군,45.88076152
41820,가평군,71.0626231
41281,고양시 덕양구,2925.2657
41285,고양시 일산동구,4769.162775
41287,고양시 일산서구,6513.369361
41290,과천시,2141.73404
41210,광명시,7149.454829
41610,광주시,915.7219425
41310,구리시,5490.341932
41410,군포시,7247.089511
41570,김포시,1794.370933
41360,남양주시,1563.143649
41250,동두천시,954.3326017
41192,부천시 원미구,21884.5679
41194,부천시 소사구,12789.61841
41196,부천시 오정구,8531.088664
41135,성남시 분당구,6468.19094
41131,성남시 수정구,5307.590759
41133,성남시 중원구,7973.694171
41113,수원시 권선구,7902.755405
41117,수원시 영통구,13231.18008
41111,수원시 장안구,8254.619076
41115,수원시 팔달구,16446.38695
41390,시흥시,4062.133772
41273,안산시 단원구,3586.777699
41271,안산시 상록구,6138.247974
41550,안성시,380.1015338
41173,안양시 동안구,13799.04284
41171,안양시 만안구,6411.597374
41630,양주시,868.4369867
41830,양평군,135.9276389
41670,여주시,190.7975864
41800,연천군,60.48765377
41370,오산시,5711.68892
41463,용인시 기흥구,5248.199412
41465,용인시 수지구,8656.162432
41461,용인시 처인구,586.0944151
41430,의왕시,2864.85286
41150,의정부시,5628.031882
41500,이천시,495.5900836
41480,파주시,734.9679506
41220,평택시,1321.142982
41650,포천시,189.9379813
41450,하남시,3447.2739
41590,화성시,1390.380224
48310,거제시,590.9453303
48880,거창군,72.87427235
48820,고성군,53.68711633
48250,김해시,1183.630676
48840,남해군,110.9788138
48270,밀양시,128.6331368
48240,사천시,273.3263126
48860,산청군,41.38868266
48330,양산시,731.7500515
48720,의령군,51.41123605
48170,진주시,488.5011361
48740,창녕군,109.7771603
48125,창원시 마산합포구,740.0331675
48127,창원시 마산회원구,1987.175808
48123,창원시 성산구,2731.590169
48121,창원시 의창구,1050.210516
48129,창원시 진해구,1537.084811
48220,통영시,506.9651119
48850,하동군,57.93721309
48730,함안군,149.235496
48870,함양군,48.99065859
48890,합천군,40.34807551
47290,경산시,719.7557541
47130,경주시,195.8602211
47830,고령군,79.42431813
47190,구미시,662.0166374
47150,김천시,136.0457403
47280,문경시,72.95104435
47920,봉화군,23.63848009
47250,상주시,74.11274318
47840,성주군,66.66071573
47170,안동시,101.5463748
47770,영덕군,45.18130801
47760,영양군,18.62674201
47210,영주시,149.9306146
47230,영천시,109.3219325
47900,예천군,82.020315
47940,울릉군,115.2676982
47930,울진군,46.12923089
47730,의성군,40.79721435
47820,청도군,57.53566498
47750,청송군,27.29958753
47850,칠곡군,249.3404279
47111,포항시 남구,575.9066108
47113,포항시 북구,361.7060556
29200,광산구,1874.763124
29155,남구,4239.041995
29110,동구,1773.6618
29170,북구,2253.043406
29140,서구,2176.01592
27720,군위군,35.48418602
27200,남구,14825.70281
27290,달서구,8656.148789
27710,달성군,623.4125502
27140,동구,480.3525342
27230,북구,2887.064465
27170,서구,5997.863741
27260,수성구,5177.619545
27110,중구,700.5436275
30230,대덕구,2498.967122
30110,동구,639.9663472
30170,서구,1087.324681
30200,유성구,2146.537569
30140,중구,2051.390899
26440,강서구,3016.891744
26410,금정구,3399.050245
26710,기장군,804.6670331
26290,남구,9635.048471
26170,동구,8643.972332
26260,동래구,15937.88334
26230,부산진구,11986.65319
26320,북구,6882.169164
26530,사상구,5768.559557
26380,사하구,7152.369555
26140,서구,7436.14889
26500,수영구,16655.5773
26470,연제구,16390.66887
26200,영도구,7703.450704
26110,중구,42384.05316
26350,해운대구,7198.156056
11680,강남구,12938.83544
11740,강동구,18160.2684
11305,강북구,12040.4661
11500,강서구,13258.31122
11620,관악구,16695.19784
11215,광진구,20407.97186
11530,구로구,21043.58847
11545,금천구,18883.25653
11350,노원구,13910.24266
11320,도봉구,14524.50363
11230,동대문구,25035.09142
11590,동작구,28749.17665
11440,마포구,15152.20126
11410,서대문구,18160.40839
11650,서초구,8202.405791
11200,성동구,16509.09631
11290,성북구,17610.82181
11710,송파구,18617.00118
11470,양천구,24253.18782
11560,영등포구,16315.43788
11170,용산구,9821.262003
11380,은평구,15246.98755
11110,종로구,6113.71811
11140,중구,12808.83534
11260,중랑구,20357.89189
36110,세종시,830.7402787
31140,남구,3491.110511
31170,동구,2425.200998
31200,북구,1721.963775
31710,울주군,294.5383581
31110,중구,3448
28710,강화군,161.0218517
28245,계양구,6140.399386
28200,남동구,8704.734552
28140,동구,12065.7931
28177,미추홀구,16704.54911
28237,부평구,15575.07029
28260,서구,872.5264572
28185,연수구,7269.549742
28720,옹진군,111.5119977
28110,중구,908.790426
46810,강진군,62.41964464
46770,고흥군,72.76657953
46720,곡성군,48.00562773
46230,광양시,317.0373876
46730,구례군,51.68412498
46170,나주시,192.2989696
46710,담양군,96.16762256
46110,목포시,4213.222501
46840,무안군,200.5277864
46780,보성군,54.10102469
46150,순천시,298.6048911
46910,신안군,53.1485378
46130,여수시,521.9136104
46870,영광군,104.2945949
46830,영암군,97.46256715
46890,완도군,120.0771033
46880,장성군,77.52869683
46800,장흥군,53.65853659
46900,진도군,66.42203086
46860,함평군,74.62127008
46820,해남군,59.76194349
46790,화순군,75.40175566
52790,고창군,83.51056825
52130,군산시,667.7151902
52210,김제시,145.908275
52190,남원시,99.12909359
52730,무주군,35.44125558
52800,부안군,94.65252525
52770,순창군,51.15238038
52710,완주군,122.9662276
52140,익산시,541.5622101
52750,임실군,41.04191436
52740,장수군,37.34948798
52113,전주시 덕진구,2860.103946
52111,전주시 완산구,3604.20586
52180,정읍시,147.853743
52720,진안군,28.94670147
50130,서귀포시,207.9310622
50110,제주시,506.3017869
44250,계룡시,738.5401219
44150,공주시,122.081559
44710,금산군,92.03582752
44230,논산시,208.4044944
44270,당진시,247.9450696
44180,보령시,165.0990015
44760,부여군,97.64027856
44210,서산시,240.634262
44770,서천군,134.6389162
44200,아산시,693.8688283
44810,예산군,145.9850383
44131,천안시 동남구,629.4486644
44133,천안시 서북구,2092.976335
44790,청양군,60.27551533
44825,태안군,117.2677066
44800,홍성군,223.9024827
43760,괴산군,44.66336504
43800,단양군,33.93321797
43720,보은군,51.73381714
43740,영동군,52.34440495
43730,옥천군,88.91267123
43770,음성군,201.1362762
43150,제천시,149.0569458
43745,증평군,466.0391198
43750,진천군,231.7369532
43111,청주시 상당구,488.4257656
43112,청주시 서원구,1591.44045
43114,청주시 청원구,912.9389331
43113,청주시 흥덕구,1413.259003
43130,충주시,219.6672294
